0 1 0
1 1.41681 0.4322
2 1.73514 0.612697
3 2.00156 0.750555
4 2.23434 0.865814
5 2.44753 0.967778
6 2.64499 1.05723
7 2.82756 1.1439
8 2.99845 1.22327
9 3.15646 1.29328
10 3.31239 1.36158
11 3.46066 1.42927
12 3.59959 1.49091
13 3.7391 1.55258
14 3.86987 1.6126
15 3.99528 1.66652
16 4.11711 1.72286
17 4.23799 1.77471
18 4.35301 1.82726
19 4.46559 1.8784
20 4.57536 1.92525
21 4.68572 1.97265
22 4.79137 2.01872
23 4.89377 2.06194
24 4.99448 2.11119
25 5.09441 2.15374
26 5.19252 2.19756
27 5.28731 2.23744
28 5.38199 2.28187
29 5.4762 2.32167
30 5.56715 2.36008
31 5.65515 2.39681
32 5.74302 2.43121
33 5.82915 2.47345
34 5.9132 2.51086
35 5.99525 2.54682
36 6.07853 2.58459
37 6.15864 2.6186
38 6.23966 2.65099
39 6.3184 2.69026
40 6.39441 2.72438
41 6.46907 2.75849
42 6.54723 2.79212
43 6.62226 2.8237
44 6.69512 2.8512
45 6.7673 2.88012
46 6.84226 2.91272
47 6.91489 2.94699
48 6.98688 2.98117
49 7.06005 3.01178
50 7.12727 3.04686
51 7.19549 3.07778
52 7.26312 3.10772
53 7.33242 3.14251
54 7.39985 3.16899
55 7.46669 3.19587
56 7.53138 3.2225
57 7.59821 3.25157
58 7.66799 3.27826
59 7.73842 3.30649
60 7.80874 3.34022
61 7.87517 3.36503
62 7.93871 3.39581
63 7.99767 3.41977
64 8.05742 3.44794
65 8.11787 3.47428
66 8.17968 3.49665
67 8.23883 3.51786
68 8.30125 3.5481
69 8.36329 3.57799
70 8.4228 3.59969
71 8.48324 3.62238
72 8.54432 3.64833
73 8.60157 3.67173
74 8.66129 3.69799
75 8.71824 3.72207
76 8.7757 3.75335
77 8.83221 3.77724
78 8.88959 3.79892
79 8.94751 3.82029
80 9.00245 3.84573
81 9.05887 3.87224
82 9.11205 3.89551
83 9.16768 3.92188
84 9.22158 3.9454
85 9.27671 3.96893
86 9.32689 3.99225
87 9.38175 4.01576
88 9.43618 4.04083
89 9.48696 4.06085
90 9.54051 4.07852
91 9.59393 4.10479
92 9.64498 4.12577
93 9.696 4.14718
94 9.74664 4.16851
95 9.79857 4.1903
96 9.84733 4.21024
97 9.89644 4.23066
98 9.94825 4.25542
99 9.99827 4.27765
